Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F1_R4_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C7_B.TIF,1,0.055,0.055,0.045,0.099,0.385,
G14_F1_R8_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R9_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C1_B.TIF,1,0.016,0.016,0.018,0.15,0.313,
G14_F2_R10_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C9_B.TIF,1,0.033,0.033,0.028,0.143,0.523,
G14_F2_R1_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C6_B.TIF,1,0.012,0.012,0.01,0.157,0.323,
G14_F2_R1_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R1_C8_B.TIF,1,0.01,0.01,0.008,0.3,0.574,
G14_F2_R1_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C6_B.TIF,2,0.016,0.008,0.013,0.366,0.695,
G14_F2_R2_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C10_B.TIF,1,0.013,0.013,0.011,0.289,0.507,
