Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F2_R10_C10_AW.TIF,1,0.006,0.006,0.033,0.389,0.49,0.752
G1_F2_R10_C10_B.TIF,1,0.007,0.007,0.006,0.417,0.494,0.862
G1_F2_R10_C2_AW.TIF,1,0.007,0.007,0.038,0.503,0.339,0.657
G1_F2_R10_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C3_AW.TIF,1,0.009,0.009,0.049,0.57,0.336,0.702
G1_F2_R10_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C4_AW.TIF,1,0.008,0.008,0.046,0.417,0.594,0.836
G1_F2_R10_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C5_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C6_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C7_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C8_AW.TIF,3,0.06,0.02,0.337,1.357,0.163,0.416
G1_F2_R10_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C9_AW.TIF,2,0.037,0.018,0.208,1.332,0.131,0.331
G1_F2_R10_C9_B.TIF,1,0.006,0.006,0.005,0.399,0.446,0.731
G1_F2_R2_C1_AW.TIF,4,0.1,0.025,0.086,1.382,0.182,0.485
G1_F2_R2_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C10_AW.TIF,6,0.187,0.031,0.154,1.875,0.248,0.467
G1_F2_R2_C10_B.TIF,1,0.009,0.009,0.007,0.521,0.401,0.853
G1_F2_R2_C2_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C3_AW.TIF,2,0.117,0.059,0.097,3.066,0.092,0.261
G1_F2_R2_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C4_AW.TIF,5,0.426,0.085,0.351,3.276,0.167,0.427
G1_F2_R2_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C5_AW.TIF,7,0.23,0.033,0.189,1.647,0.207,0.472
G1_F2_R2_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C6_AW.TIF,3,0.033,0.011,0.028,0.785,0.25,0.616
G1_F2_R2_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C7_AW.TIF,6,0.12,0.02,0.099,1.244,0.346,0.557
G1_F2_R2_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C8_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R2_C9_AW.TIF,5,0.095,0.019,0.079,1.124,0.287,0.524
G1_F2_R2_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C1_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C10_AW.TIF,8,0.398,0.05,0.395,2.389,0.145,0.407
G1_F2_R3_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C2_AW.TIF,5,0.135,0.027,0.111,1.585,0.178,0.397
G1_F2_R3_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C3_AW.TIF,8,0.2,0.025,0.165,1.505,0.203,0.449
G1_F2_R3_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C4_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C5_AW.TIF,1,0.006,0.006,0.005,0.617,0.206,0.428
G1_F2_R3_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C6_AW.TIF,3,0.04,0.013,0.033,0.92,0.207,0.597
G1_F2_R3_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C7_AW.TIF,1,0.061,0.061,0.051,3.365,0.068,0.179
G1_F2_R3_C7_B.TIF,1,0.016,0.016,0.013,0.994,0.203,0.486
G1_F2_R3_C8_AW.TIF,3,0.172,0.057,0.141,3.148,0.118,0.285
G1_F2_R3_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R3_C9_AW.TIF,4,0.083,0.021,0.068,1.251,0.268,0.579
G1_F2_R3_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C1_AW.TIF,7,0.24,0.034,0.197,1.997,0.182,0.409
G1_F2_R4_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C10_AW.TIF,3,0.111,0.037,0.11,2.072,0.198,0.491
G1_F2_R4_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C2_AW.TIF,6,0.189,0.031,0.156,1.635,0.17,0.46
G1_F2_R4_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C3_AW.TIF,3,0.103,0.034,0.085,1.144,0.356,0.705
G1_F2_R4_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C4_AW.TIF,1,0.01,0.01,0.008,0.604,0.342,0.755
G1_F2_R4_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C5_AW.TIF,4,0.037,0.009,0.03,0.699,0.278,0.691
G1_F2_R4_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C6_AW.TIF,5,0.292,0.058,0.24,3.02,0.103,0.284
G1_F2_R4_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C7_AW.TIF,3,0.073,0.024,0.06,1.434,0.234,0.473
G1_F2_R4_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R4_C8_AW.TIF,2,0.044,0.022,0.037,1.041,0.26,0.537
G1_F2_R4_C8_B.TIF,1,0.052,0.052,0.043,3.031,0.072,0.219
G1_F2_R4_C9_AW.TIF,3,0.031,0.01,0.026,0.712,0.277,0.623
G1_F2_R4_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C1_AW.TIF,4,0.091,0.023,0.075,1.276,0.275,0.586
G1_F2_R5_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C10_AW.TIF,1,0.03,0.03,0.034,1.81,0.114,0.254
G1_F2_R5_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C2_AW.TIF,2,0.104,0.052,0.086,2.211,0.176,0.442
G1_F2_R5_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C3_AW.TIF,3,0.142,0.047,0.117,2.471,0.12,0.328
G1_F2_R5_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C4_AW.TIF,4,0.231,0.058,0.191,2.789,0.187,0.462
G1_F2_R5_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C5_AW.TIF,3,0.045,0.015,0.037,0.755,0.378,0.697
G1_F2_R5_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C6_AW.TIF,7,0.127,0.018,0.104,1.166,0.193,0.423
G1_F2_R5_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C7_AW.TIF,3,0.046,0.015,0.038,0.858,0.336,0.646
G1_F2_R5_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C8_AW.TIF,3,0.147,0.049,0.121,2.418,0.222,0.457
G1_F2_R5_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R5_C9_AW.TIF,3,0.181,0.06,0.149,3.046,0.117,0.338
G1_F2_R5_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R6_C1_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R6_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R6_C10_AW.TIF,7,0.197,0.028,0.162,1.481,0.205,0.48
G1_F2_R6_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
